xt,yt,zt
-0.024692612,-0.02366444,-0.99941504
-0.018980736,-0.99963963,-0.01898459
-0.9996331,-0.019155445,-0.019155445
-0.016309284,-0.99837023,-0.054688927
-0.020818211,-0.99418104,-0.10569165
-0.017726593,-0.98763496,-0.1557652
-0.017034864,-0.97787285,-0.20850527
-0.019491848,-0.96593386,-0.25805375
-0.017813217,-0.9509307,-0.3088905
-0.017913295,-0.93345726,-0.3582411
-0.017230872,-0.91375214,-0.4059065
-0.017684847,-0.8914768,-0.45272103
-0.022517782,-0.86601114,-0.4995173
-0.022506583,-0.8388487,-0.54389906
-0.019331258,-0.8084848,-0.58819956
-0.018910535,-0.7770849,-0.62911165
-0.018215492,-0.74317896,-0.6688447
-0.019205326,-0.70683604,-0.7071166
-0.019887293,-0.66922516,-0.74279356
-0.021144968,-0.6286942,-0.77736515
-0.0154793905,-0.58801013,-0.8087054
-0.014698596,-0.54427004,-0.83878136
-0.020357393,-0.50071806,-0.86537105
-0.020037318,-0.4539246,-0.8908148
-0.020152684,-0.40664858,-0.9133623
-0.020142334,-0.35828406,-0.9333954
-0.020921396,-0.30853832,-0.9509818
-0.020640299,-0.25918427,-0.96560735
-0.021359509,-0.20833208,-0.97782487
-0.02099974,-0.15715039,-0.98735136
-0.01984868,-0.104404524,-0.99433684
-0.023161085,-0.051793244,-0.99838924
-0.9982143,-0.018981732,-0.056637492
-0.99428517,-0.02107325,-0.10465607
-0.9874856,-0.02009713,-0.15642296
-0.9780302,-0.01953736,-0.20754589
-0.9658398,-0.019133078,-0.25843266
-0.9508954,-0.019850269,-0.308875
-0.9333887,-0.020152686,-0.35830075
-0.91335523,-0.020142332,-0.40666506
-0.890285,-0.022320231,-0.45485634
-0.8656409,-0.02254788,-0.50015736
-0.83821833,-0.020094212,-0.54496455
-0.8086912,-0.019644178,-0.5879054
-0.7764813,-0.019018888,-0.6298531
-0.74307156,-0.019833425,-0.6689181
-0.70689064,-0.019833423,-0.7070447
-0.6690978,-0.019763326,-0.7429115
-0.629095,-0.019763326,-0.7770771
-0.58796656,-0.019904947,-0.80864024
